Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Product_Navigation_Birds,Chrome 129.0.0.0,,,05-10-2024 11:46:57,05-10-2024 11:47:07,9.806s,PASSED
,,,,,,,
Test Cases/Product_Navigation_Birds,Chrome 129.0.0.0,,,05-10-2024 11:46:57,05-10-2024 11:47:07,9.573s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,05-10-2024 11:46:57,05-10-2024 11:47:00,3.058s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,05-10-2024 11:47:00,05-10-2024 11:47:01,0.807s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,05-10-2024 11:47:01,05-10-2024 11:47:02,1.151s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,05-10-2024 11:47:02,05-10-2024 11:47:03,0.525s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_AV-CB-01""))",Chrome 129.0.0.0,,,05-10-2024 11:47:03,05-10-2024 11:47:03,0.548s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_EST-18""))",Chrome 129.0.0.0,,,05-10-2024 11:47:03,05-10-2024 11:47:04,0.802s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Add to Cart""))",Chrome 129.0.0.0,,,05-10-2024 11:47:04,05-10-2024 11:47:05,0.541s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 129.0.0.0,,,05-10-2024 11:47:05,05-10-2024 11:47:05,0.519s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,05-10-2024 11:47:05,05-10-2024 11:47:06,0.497s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 129.0.0.0,,,05-10-2024 11:47:06,05-10-2024 11:47:06,0.536s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,05-10-2024 11:47:06,05-10-2024 11:47:07,0.274s,PASSED
