Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Product_Navigation_Birds,Chrome 129.0.0.0,,,05-10-2024 10:38:48,05-10-2024 10:39:00,11.797s,PASSED
,,,,,,,
Test Cases/Product_Navigation_Birds,Chrome 129.0.0.0,,,05-10-2024 10:38:48,05-10-2024 10:39:00,11.459s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,05-10-2024 10:38:49,05-10-2024 10:38:51,2.704s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,05-10-2024 10:38:51,05-10-2024 10:38:53,1.556s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,05-10-2024 10:38:53,05-10-2024 10:38:54,1.506s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,05-10-2024 10:38:54,05-10-2024 10:38:55,0.622s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_AV-CB-01""))",Chrome 129.0.0.0,,,05-10-2024 10:38:55,05-10-2024 10:38:56,0.597s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_EST-18""))",Chrome 129.0.0.0,,,05-10-2024 10:38:56,05-10-2024 10:38:57,0.848s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Add to Cart""))",Chrome 129.0.0.0,,,05-10-2024 10:38:57,05-10-2024 10:38:57,0.682s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 129.0.0.0,,,05-10-2024 10:38:57,05-10-2024 10:38:58,0.667s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,05-10-2024 10:38:58,05-10-2024 10:38:59,0.697s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 129.0.0.0,,,05-10-2024 10:38:59,05-10-2024 10:38:59,0.744s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,05-10-2024 10:38:59,05-10-2024 10:39:00,0.321s,PASSED
